month,collapse__employment_rate,collapse__human_zone,collapse__gini,collapse__gini_employed,collapse__top10_share,tug__employment_rate,tug__human_zone,tug__gini,tug__gini_employed,tug__top10_share,realloc__employment_rate,realloc__human_zone,realloc__gini,realloc__gini_employed,realloc__top10_share
0,0.7455,0.8,0.554353,0.402217,0.307876,0.7455,0.8,0.554353,0.402217,0.307876,0.7455,0.8,0.554353,0.402217,0.307876
1,0.721,0.798,0.573041,0.407824,0.317444,0.7245,0.799,0.570576,0.407283,0.31524,0.727,0.8,0.569597,0.407974,0.314306
2,0.733,0.796,0.564393,0.405721,0.315804,0.7425,0.798,0.558952,0.405996,0.311147,0.748,0.8,0.556247,0.406747,0.308932
3,0.7275,0.794,0.561131,0.396744,0.313535,0.7405,0.797,0.553198,0.396621,0.307055,0.7465,0.8,0.550083,0.397298,0.304177
4,0.721,0.792,0.562471,0.393164,0.313165,0.739,0.796,0.552055,0.39385,0.304436,0.7505,0.8,0.546019,0.395095,0.299964
5,0.715,0.79,0.564985,0.391587,0.315044,0.7285,0.795,0.555394,0.389697,0.305857,0.7385,0.8,0.550969,0.391969,0.301787
6,0.7125,0.788,0.569486,0.39577,0.319001,0.7325,0.794,0.5571,0.395359,0.307276,0.7425,0.8,0.550741,0.394938,0.301767
7,0.6935,0.786,0.573737,0.385346,0.319613,0.7195,0.793,0.558705,0.386664,0.305517,0.735,0.8,0.550187,0.388009,0.298563
8,0.69,0.784,0.578044,0.38847,0.324483,0.7155,0.792,0.561979,0.387811,0.309324,0.732,0.8,0.552098,0.388111,0.301675
9,0.6825,0.782,0.58187,0.387355,0.327845,0.712,0.791,0.562101,0.384973,0.309511,0.7355,0.8,0.548887,0.386658,0.299922
10,0.6935,0.78,0.580395,0.394946,0.328078,0.7315,0.79,0.557263,0.394755,0.306967,0.755,0.8,0.54507,0.397444,0.297672
11,0.678,0.778,0.58494,0.387817,0.330014,0.715,0.789,0.561769,0.38709,0.307105,0.7415,0.8,0.548836,0.391553,0.296903
12,0.6605,0.776,0.59231,0.382755,0.335313,0.7055,0.788,0.565127,0.383596,0.308458,0.733,0.8,0.55154,0.388185,0.297288
13,0.675,0.774,0.581091,0.379395,0.328092,0.7185,0.787,0.554409,0.379832,0.302814,0.7505,0.8,0.537658,0.383954,0.291128
14,0.6505,0.772,0.593248,0.374708,0.337193,0.6975,0.786,0.564775,0.376022,0.308187,0.7285,0.8,0.547589,0.378983,0.295316
15,0.672,0.77,0.579504,0.374262,0.329819,0.7255,0.785,0.54735,0.376086,0.300032,0.766,0.8,0.527992,0.383802,0.286368
16,0.676,0.768,0.574084,0.369947,0.32885,0.7265,0.784,0.542202,0.369858,0.297829,0.7705,0.8,0.51779,0.374159,0.28188
17,0.6495,0.766,0.589857,0.368525,0.33638,0.7035,0.783,0.556044,0.368932,0.301849,0.7495,0.8,0.532677,0.376486,0.285325
18,0.6445,0.764,0.596495,0.373925,0.342072,0.714,0.782,0.554986,0.376731,0.303324,0.755,0.8,0.531579,0.379575,0.287159
19,0.6245,0.762,0.604604,0.36686,0.346318,0.6895,0.781,0.563116,0.366375,0.304896,0.733,0.8,0.53982,0.372196,0.287858
20,0.622,0.76,0.604951,0.364873,0.349027,0.6925,0.78,0.56046,0.365285,0.30501,0.7435,0.8,0.533309,0.372305,0.285871
21,0.6355,0.758,0.596709,0.365396,0.343908,0.7085,0.779,0.55087,0.366083,0.299232,0.7515,0.8,0.526812,0.370343,0.281799
22,0.6245,0.756,0.598652,0.357329,0.344679,0.71,0.778,0.546669,0.361506,0.296218,0.759,0.8,0.51731,0.364045,0.276256
23,0.6155,0.754,0.60649,0.360667,0.352066,0.6985,0.777,0.554804,0.36264,0.302244,0.752,0.8,0.523193,0.365949,0.280974
24,0.6315,0.752,0.597316,0.362338,0.347582,0.726,0.776,0.538625,0.364497,0.294257,0.785,0.8,0.506129,0.370865,0.273215
25,0.629,0.75,0.599327,0.363,0.349161,0.719,0.775,0.544122,0.365956,0.295951,0.779,0.8,0.510511,0.371644,0.273566
26,0.5915,0.748,0.618219,0.354555,0.359152,0.6835,0.774,0.561062,0.357808,0.302981,0.747,0.8,0.525056,0.364198,0.279426
