ability_sigma,k,gini_employed
0.2,0.5,0.0113722
0.283333,0.5,0.0262308
0.366667,0.5,0.0385914
0.45,0.5,0.0498803
0.533333,0.5,0.0566589
0.616667,0.5,0.0612038
0.7,0.5,0.0637633
0.783333,0.5,0.0646886
0.866667,0.5,0.0639713
0.95,0.5,0.0621424
1.03333,0.5,0.059727
1.11667,0.5,0.0573518
1.2,0.5,0.0545408
0.2,0.708333,0.016148
0.283333,0.708333,0.0373773
0.366667,0.708333,0.0551699
0.45,0.708333,0.071344
0.533333,0.708333,0.0808463
0.616667,0.708333,0.0869327
0.7,0.708333,0.0901927
0.783333,0.708333,0.0912006
0.866667,0.708333,0.0899365
0.95,0.708333,0.087183
1.03333,0.708333,0.0836522
1.11667,0.708333,0.080207
1.2,0.708333,0.0761718
0.2,0.916667,0.0209455
0.283333,0.916667,0.0486494
0.366667,0.916667,0.0720339
0.45,0.916667,0.0931751
0.533333,0.916667,0.105306
0.616667,0.916667,0.112699
0.7,0.916667,0.116428
0.783333,0.916667,0.117335
0.866667,0.916667,0.115384
0.95,0.916667,0.111625
1.03333,0.916667,0.106936
1.11667,0.916667,0.102392
1.2,0.916667,0.09712
0.2,1.125,0.0257646
0.283333,1.125,0.0600453
0.366667,1.125,0.0891762
0.45,1.125,0.115346
0.533333,1.125,0.129984
0.616667,1.125,0.138433
0.7,1.125,0.142394
0.783333,1.125,0.143019
0.866667,1.125,0.140247
0.95,1.125,0.135413
1.03333,1.125,0.129535
1.11667,1.125,0.123877
1.2,1.125,0.117368
0.2,1.33333,0.0306048
0.283333,1.33333,0.071563
0.366667,1.33333,0.106588
0.45,1.33333,0.137827
0.533333,1.33333,0.154826
0.616667,1.33333,0.164067
0.7,1.33333,0.168021
0.783333,1.33333,0.168183
0.866667,1.33333,0.164467
0.95,1.33333,0.1585
1.03333,1.33333,0.151417
1.11667,1.33333,0.144641
1.2,1.33333,0.136904
0.2,1.54167,0.0354661
0.283333,1.54167,0.0832003
0.366667,1.54167,0.124259
0.45,1.54167,0.160583
0.533333,1.54167,0.179772
0.616667,1.54167,0.189531
0.7,1.54167,0.193239
0.783333,1.54167,0.192768
0.866667,1.54167,0.187992
0.95,1.54167,0.180846
1.03333,1.54167,0.172554
1.11667,1.54167,0.164667
1.2,1.54167,0.155722
0.2,1.75,0.0403481
0.283333,1.75,0.0949546
0.366667,1.75,0.142177
0.45,1.75,0.183575
0.533333,1.75,0.20476
0.616667,1.75,0.214759
0.7,1.75,0.217987
0.783333,1.75,0.21672
0.866667,1.75,0.21078
0.95,1.75,0.202421
1.03333,1.75,0.192927
1.11667,1.75,0.183947
1.2,1.75,0.173823
0.2,1.95833,0.0452505
0.283333,1.95833,0.106823
0.366667,1.95833,0.160328
0.45,1.95833,0.206763
0.533333,1.95833,0.229727
0.616667,1.95833,0.239684
0.7,1.95833,0.242207
0.783333,1.95833,0.239991
0.866667,1.95833,0.232798
0.95,1.95833,0.223201
1.03333,1.95833,0.212525
1.11667,1.95833,0.202476
1.2,1.95833,0.191209
0.2,2.16667,0.0501729
0.283333,2.16667,0.118802
0.366667,2.16667,0.178697
0.45,2.16667,0.230101
0.533333,2.16667,0.254607
0.616667,2.16667,0.264243
0.7,2.16667,0.265847
0.783333,2.16667,0.262544
0.866667,2.16667,0.254018
0.95,2.16667,0.243171
1.03333,2.16667,0.231341
1.11667,2.16667,0.220258
1.2,2.16667,0.20789
0.2,2.375,0.055115
0.283333,2.375,0.13089
0.366667,2.375,0.197265
0.45,2.375,0.253544
0.533333,2.375,0.279336
0.616667,2.375,0.288377
0.7,2.375,0.288862
0.783333,2.375,0.284347
0.866667,2.375,0.274423
0.95,2.375,0.262325
1.03333,2.375,0.249376
1.11667,2.375,0.237298
1.2,2.375,0.223878
0.2,2.58333,0.0600763
0.283333,2.58333,0.14308
0.366667,2.58333,0.216015
0.45,2.58333,0.27704
0.533333,2.58333,0.30385
0.616667,2.58333,0.312031
0.7,2.58333,0.311212
0.783333,2.58333,0.305377
0.866667,2.58333,0.294004
0.95,2.58333,0.280659
1.03333,2.58333,0.266635
1.11667,2.58333,0.253608
1.2,2.58333,0.239188
0.2,2.79167,0.0650564
0.283333,2.79167,0.155371
0.366667,2.79167,0.234925
0.45,2.79167,0.300538
0.533333,2.79167,0.328086
0.616667,2.79167,0.335154
0.7,2.79167,0.332866
0.783333,2.79167,0.325618
0.866667,2.79167,0.312755
0.95,2.79167,0.298179
1.03333,2.79167,0.283127
1.11667,2.79167,0.269202
1.2,2.79167,0.253838
0.2,3,0.0700549
0.283333,3,0.167757
0.366667,3,0.253971
0.45,3,0.323985
0.533333,3,0.351982
0.616667,3,0.357701
0.7,3,0.353797
0.783333,3,0.345059
0.866667,3,0.330681
0.95,3,0.314895
1.03333,3,0.298868
1.11667,3,0.284098
1.2,3,0.267846
