ability_sigma,k,top10_share
0.2,0.5,1
0.283333,0.5,1
0.366667,0.5,1
0.45,0.5,0.975079
0.533333,0.5,0.753779
0.616667,0.5,0.641034
0.7,0.5,0.557423
0.783333,0.5,0.49341
0.866667,0.5,0.448457
0.95,0.5,0.412588
1.03333,0.5,0.386161
1.11667,0.5,0.365236
1.2,0.5,0.349734
0.2,0.708333,1
0.283333,0.708333,1
0.366667,0.708333,1
0.45,0.708333,0.976262
0.533333,0.708333,0.765317
0.616667,0.708333,0.657936
0.7,0.708333,0.577334
0.783333,0.708333,0.514188
0.866667,0.708333,0.46829
0.95,0.708333,0.430027
1.03333,0.708333,0.401372
1.11667,0.708333,0.378756
1.2,0.708333,0.36181
0.2,0.916667,1
0.283333,0.916667,1
0.366667,0.916667,1
0.45,0.916667,0.977422
0.533333,0.916667,0.776715
0.616667,0.916667,0.674643
0.7,0.916667,0.597049
0.783333,0.916667,0.534804
0.866667,0.916667,0.487972
0.95,0.916667,0.447288
1.03333,0.916667,0.41639
1.11667,0.916667,0.392082
1.2,0.916667,0.373697
0.2,1.125,1
0.283333,1.125,1
0.366667,1.125,1
0.45,1.125,0.978558
0.533333,1.125,0.787948
0.616667,1.125,0.691108
0.7,1.125,0.616506
0.783333,1.125,0.555187
0.866667,1.125,0.507437
0.95,1.125,0.46432
1.03333,1.125,0.431178
1.11667,1.125,0.405187
1.2,1.125,0.385372
0.2,1.33333,1
0.283333,1.33333,1
0.366667,1.33333,1
0.45,1.33333,0.979668
0.533333,1.33333,0.798991
0.616667,1.33333,0.707284
0.7,1.33333,0.635642
0.783333,1.33333,0.575271
0.866667,1.33333,0.526626
0.95,1.33333,0.481075
1.03333,1.33333,0.4457
1.11667,1.33333,0.418046
1.2,1.33333,0.396821
0.2,1.54167,1
0.283333,1.54167,1
0.366667,1.54167,1
0.45,1.54167,0.980752
0.533333,1.54167,0.809818
0.616667,1.54167,0.723128
0.7,1.54167,0.654402
0.783333,1.54167,0.594996
0.866667,1.54167,0.545481
0.95,1.54167,0.497511
1.03333,1.54167,0.459927
1.11667,1.54167,0.430637
1.2,1.54167,0.408029
0.2,1.75,1
0.283333,1.75,1
0.366667,1.75,1
0.45,1.75,0.981808
0.533333,1.75,0.820406
0.616667,1.75,0.738599
0.7,1.75,0.672732
0.783333,1.75,0.614304
0.866667,1.75,0.563954
0.95,1.75,0.513591
1.03333,1.75,0.473834
1.11667,1.75,0.442944
1.2,1.75,0.418984
0.2,1.95833,1
0.283333,1.95833,1
0.366667,1.95833,1
0.45,1.95833,0.982834
0.533333,1.95833,0.830731
0.616667,1.95833,0.75366
0.7,1.95833,0.690585
0.783333,1.95833,0.633145
0.866667,1.95833,0.582
0.95,1.95833,0.529283
1.03333,1.95833,0.487398
1.11667,1.95833,0.454951
1.2,1.95833,0.429679
0.2,2.16667,1
0.283333,2.16667,1
0.366667,2.16667,1
0.45,2.16667,0.983831
0.533333,2.16667,0.840772
0.616667,2.16667,0.768276
0.7,2.16667,0.707919
0.783333,2.16667,0.651477
0.866667,2.16667,0.599581
0.95,2.16667,0.544559
1.03333,2.16667,0.500601
1.11667,2.16667,0.466648
1.2,2.16667,0.440107
0.2,2.375,1
0.283333,2.375,1
0.366667,2.375,1
0.45,2.375,0.984796
0.533333,2.375,0.85051
0.616667,2.375,0.782417
0.7,2.375,0.724698
0.783333,2.375,0.669261
0.866667,2.375,0.616666
0.95,2.375,0.559398
1.03333,2.375,0.513432
1.11667,2.375,0.478027
1.2,2.375,0.450264
0.2,2.58333,1
0.283333,2.58333,1
0.366667,2.58333,1
0.45,2.58333,0.985728
0.533333,2.58333,0.859926
0.616667,2.58333,0.796057
0.7,2.58333,0.740891
0.783333,2.58333,0.686467
0.866667,2.58333,0.633229
0.95,2.58333,0.573784
1.03333,2.58333,0.525878
1.11667,2.58333,0.489082
1.2,2.58333,0.460148
0.2,2.79167,1
0.283333,2.79167,1
0.366667,2.79167,1
0.45,2.79167,0.986628
0.533333,2.79167,0.869004
0.616667,2.79167,0.809175
0.7,2.79167,0.756474
0.783333,2.79167,0.70307
0.866667,2.79167,0.649249
0.95,2.79167,0.587703
1.03333,2.79167,0.537935
1.11667,2.79167,0.499811
1.2,2.79167,0.469759
0.2,3,1
0.283333,3,1
0.366667,3,1
0.45,3,0.987494
0.533333,3,0.877732
0.616667,3,0.821753
0.7,3,0.771429
0.783333,3,0.719052
0.866667,3,0.664713
0.95,3,0.601148
1.03333,3,0.549598
1.11667,3,0.510212
1.2,3,0.479099
