month,occ_unemp_med,occ_low_med,occ_mid_med,occ_high_med,occ_elite_med,ai_sub_med,ai_sub_lo,ai_sub_hi,newjob_med,newjob_lo,newjob_hi
0,0.2605,0.19775,0.3715,0.17225,0,0.00869858,0.00789493,0.00941772,0,0,0
1,0.2635,0.19725,0.3635,0.17425,0,0.00924661,0.00831952,0.00976485,0.00875985,0.00447753,0.0106895
2,0.259,0.1945,0.37275,0.17775,0,0.00946902,0.00889685,0.0102166,0.0187309,0.0132918,0.0273894
3,0.25925,0.187,0.36625,0.17975,0,0.0101004,0.00919786,0.0107992,0.0282196,0.0196639,0.0334316
4,0.263,0.18325,0.37375,0.182,0,0.0101964,0.00941309,0.0113652,0.0368198,0.0294167,0.0437314
5,0.26425,0.17625,0.37825,0.18325,0,0.0111335,0.00949985,0.0114063,0.0439619,0.0384374,0.0548856
6,0.26725,0.1765,0.376,0.1845,0,0.0113373,0.0104873,0.0123394,0.0513188,0.0384369,0.0647948
7,0.26725,0.169,0.37325,0.1855,0,0.0116982,0.0110495,0.0122154,0.0565037,0.0472025,0.0717898
8,0.26825,0.168,0.372,0.188,0,0.0114688,0.010801,0.0124865,0.0708217,0.054574,0.0809787
9,0.273,0.161,0.3795,0.1895,0,0.0124727,0.0118931,0.0140778,0.0753964,0.0671247,0.0890148
10,0.2805,0.1645,0.3685,0.19225,0,0.013278,0.0122812,0.0139859,0.089405,0.079155,0.0947103
11,0.27125,0.1565,0.37925,0.19525,0,0.0138557,0.0128941,0.0150258,0.0932078,0.0847911,0.100021
12,0.27575,0.14975,0.382,0.19775,0,0.014144,0.0132145,0.0159233,0.101564,0.0827476,0.108343
13,0.27375,0.14825,0.3795,0.19875,0,0.0141748,0.0134376,0.0161411,0.102837,0.0884311,0.118355
14,0.27725,0.145,0.37475,0.20125,0,0.0161138,0.0148625,0.0172591,0.114722,0.105832,0.132021
15,0.27625,0.14,0.3795,0.20325,0,0.0156626,0.0149499,0.0168926,0.118613,0.104723,0.139056
16,0.28075,0.1385,0.377,0.2055,0,0.0166637,0.0155822,0.0174431,0.132275,0.112279,0.143119
17,0.2845,0.1295,0.3765,0.2075,0,0.017441,0.0160321,0.018824,0.134187,0.122061,0.150351
18,0.27925,0.128,0.37425,0.21,0,0.0185805,0.0168069,0.0194462,0.149548,0.132613,0.163338
19,0.2815,0.125,0.3815,0.21225,0,0.0183288,0.0173868,0.0202255,0.150543,0.137817,0.160953
20,0.28775,0.11925,0.38225,0.216,0,0.0194881,0.0181052,0.0205807,0.156504,0.146888,0.170106
21,0.287,0.1165,0.37875,0.218,0,0.0198018,0.0188875,0.0211808,0.164598,0.145914,0.181277
22,0.291,0.1135,0.374,0.21975,0,0.0205734,0.0185726,0.0213993,0.175011,0.162609,0.189659
23,0.29125,0.106,0.3815,0.22225,0,0.021355,0.0195206,0.022287,0.174248,0.161057,0.199418
24,0.29275,0.1025,0.379,0.2245,0,0.0213137,0.0203509,0.023265,0.187861,0.175381,0.20603
25,0.2835,0.102,0.3845,0.22725,0,0.0224481,0.0204418,0.0231326,0.199731,0.175387,0.219681
26,0.28875,0.1005,0.379,0.2285,0,0.0232912,0.0216002,0.0257277,0.20012,0.183723,0.218566
27,0.293,0.091,0.379,0.231,0,0.0238477,0.0223911,0.0254009,0.203915,0.192949,0.213655
28,0.28575,0.0885,0.388,0.2345,0,0.0236848,0.0222817,0.0264372,0.211189,0.203055,0.232268
29,0.29275,0.0845,0.385,0.23625,0,0.025213,0.0238699,0.026843,0.222256,0.202493,0.238041
30,0.29525,0.07875,0.38425,0.23825,0,0.0258868,0.0244545,0.027748,0.238231,0.225532,0.24495
31,0.30025,0.07525,0.383,0.24125,0,0.0281337,0.0251735,0.0292506,0.229659,0.216241,0.253016
32,0.30225,0.06925,0.38275,0.24475,0,0.0276186,0.0254374,0.0286745,0.245311,0.225334,0.25708
33,0.30775,0.067,0.38175,0.247,0,0.0285685,0.0251665,0.0309324,0.245546,0.231875,0.257861
34,0.29975,0.0605,0.38325,0.24925,0,0.0280429,0.0262723,0.0314588,0.255338,0.239926,0.267777
35,0.3015,0.062,0.3845,0.25125,0,0.0294992,0.0279377,0.0317716,0.25583,0.224792,0.278701
36,0.30425,0.05525,0.37925,0.2535,0,0.0324113,0.0292762,0.0339669,0.261509,0.241505,0.291154
37,0.30575,0.053,0.38375,0.2565,0,0.0317015,0.0297368,0.0332987,0.275488,0.261245,0.291295
38,0.3065,0.0495,0.38525,0.25725,0,0.0325713,0.0300795,0.0348686,0.281335,0.257964,0.289322
39,0.30875,0.0455,0.38125,0.2615,0,0.0321574,0.0295037,0.0352654,0.276513,0.265703,0.294675
40,0.304,0.042,0.389,0.26475,0,0.0331257,0.0317271,0.036424,0.292214,0.280126,0.312659
41,0.31325,0.038,0.385,0.266,0,0.0353736,0.0332506,0.036983,0.294885,0.280114,0.317253
42,0.308,0.033,0.388,0.27,0,0.0357654,0.0338754,0.0370466,0.296771,0.284558,0.314591
43,0.3145,0.02975,0.379,0.27225,0,0.0366146,0.0348973,0.0386077,0.304463,0.288223,0.320805
44,0.31375,0.0285,0.3835,0.2745,0,0.0377626,0.0350721,0.040055,0.308,0.290877,0.31861
