month,F_med,mean_a_med,mean_a_lo,mean_a_hi,mean_a_emp_med,mean_a_emp_lo,mean_a_emp_hi,retrain_med,retrain_lo,retrain_hi,demand_med,demand_lo,demand_hi,supply_med,supply_lo,supply_hi,unmet_med,unmet_lo,unmet_hi,unused_med,unused_lo,unused_hi
0,0.2,0.566753,0.554111,0.573199,0.667394,0.657331,0.675988,0,0,0,0.599999,0.589666,0.61151,0.497099,0.487107,0.51124,0.0710447,0.0546626,0.093632,0.2605,0.246,0.2725
1,0.204,0.568874,0.556182,0.575347,0.669243,0.662933,0.679304,0.00093633,0,0.0596625,0.605125,0.591149,0.616356,0.499087,0.489055,0.513285,0.0726448,0.0584992,0.0954768,0.2635,0.24775,0.28075
2,0.208,0.571013,0.558248,0.577512,0.673291,0.661898,0.680733,0.0116205,0,0.0852116,0.60515,0.591074,0.618159,0.501084,0.491011,0.515338,0.0727383,0.0396346,0.088137,0.259,0.244,0.27325
3,0.212,0.573152,0.560322,0.579682,0.674192,0.66869,0.682217,0,0,0.0421301,0.610072,0.597992,0.619725,0.503088,0.492975,0.517399,0.0693679,0.0457092,0.104282,0.25925,0.24625,0.28425
4,0.216,0.575306,0.5624,0.581868,0.681463,0.670164,0.68559,0,0,0.0202509,0.615235,0.607416,0.622217,0.5051,0.494947,0.519469,0.079768,0.0522327,0.0985299,0.263,0.2515,0.28225
5,0.22,0.577458,0.564491,0.584056,0.684056,0.669938,0.690037,0.00292969,0,0.0582437,0.616684,0.606371,0.624544,0.507121,0.496927,0.521547,0.068218,0.0525566,0.0972776,0.26425,0.24775,0.291
6,0.224,0.579618,0.566592,0.58625,0.685042,0.677629,0.691476,0.00736648,0,0.0701121,0.622932,0.608092,0.630163,0.509149,0.498915,0.523633,0.0808933,0.0437526,0.0944694,0.26725,0.24025,0.28375
7,0.228,0.581781,0.568693,0.588462,0.691283,0.677314,0.695792,0.00564471,0,0.0565608,0.62076,0.613573,0.638549,0.511186,0.50091,0.525728,0.0775266,0.0533994,0.0964614,0.26725,0.251,0.286
8,0.232,0.583963,0.570801,0.59066,0.692533,0.684839,0.702734,0,0,0.0445144,0.631823,0.618652,0.640279,0.513231,0.502914,0.52783,0.0845561,0.0609327,0.112682,0.26825,0.25825,0.28775
9,0.236,0.58615,0.572918,0.592873,0.695235,0.687241,0.705874,0.00286807,0,0.0389778,0.63111,0.625054,0.643922,0.515283,0.504926,0.529942,0.0804358,0.0625826,0.0968513,0.273,0.25425,0.28675
10,0.24,0.588337,0.575042,0.595098,0.697895,0.691528,0.708598,0.00599397,0,0.0606069,0.638957,0.622241,0.650188,0.517345,0.506945,0.532062,0.08712,0.0495786,0.104006,0.2805,0.24875,0.29325
11,0.244,0.590521,0.577169,0.597338,0.70106,0.692508,0.709326,0.0194803,0,0.0668318,0.638784,0.623441,0.646234,0.519414,0.508973,0.53419,0.0816484,0.0440023,0.0962726,0.27125,0.2595,0.2845
12,0.248,0.592732,0.579315,0.599586,0.705686,0.693255,0.715403,0,0,0.0533906,0.642822,0.625757,0.654696,0.521492,0.511009,0.536327,0.0788567,0.0641733,0.100965,0.27575,0.25325,0.293
13,0.252,0.59495,0.581473,0.601834,0.707875,0.7014,0.715422,0,0,0.0360434,0.644512,0.637402,0.655154,0.523578,0.513053,0.538472,0.0801084,0.0601412,0.104986,0.27375,0.26,0.2905
14,0.256,0.597172,0.583633,0.604094,0.713819,0.706206,0.720897,0,0,0.00731261,0.6509,0.636593,0.657522,0.525672,0.515105,0.540626,0.0810559,0.0550584,0.0984845,0.27725,0.26375,0.30425
15,0.26,0.599401,0.585793,0.606358,0.714997,0.706109,0.724632,0.000856164,0,0.0776228,0.652349,0.643619,0.663595,0.527775,0.517166,0.542788,0.0808344,0.0652694,0.11636,0.27625,0.263,0.295
16,0.264,0.601639,0.587963,0.608626,0.716984,0.707471,0.729888,0.00528953,0,0.0649377,0.653432,0.646315,0.664618,0.529886,0.519234,0.544959,0.0813234,0.0608352,0.100853,0.28075,0.26325,0.2925
17,0.268,0.603887,0.59014,0.610901,0.726806,0.713953,0.732575,0,0,0.0273606,0.666396,0.649368,0.674282,0.532005,0.521311,0.547139,0.0913654,0.0595506,0.111637,0.2845,0.26925,0.3065
