month,collapse__employment_rate,collapse__human_zone,collapse__gini,collapse__gini_employed,collapse__top10_share,tug__employment_rate,tug__human_zone,tug__gini,tug__gini_employed,tug__top10_share,realloc__employment_rate,realloc__human_zone,realloc__gini,realloc__gini_employed,realloc__top10_share
0,0.84,0.8,0.509876,0.416519,0.293048,0.84,0.8,0.509876,0.416519,0.293048,0.84,0.8,0.509876,0.416519,0.293048
1,0.8295,0.798,0.517343,0.418135,0.297751,0.8415,0.799,0.509297,0.416872,0.291297,0.846,0.8,0.505982,0.416054,0.288484
2,0.8165,0.796,0.518692,0.410523,0.299654,0.845,0.798,0.499909,0.408176,0.285692,0.8595,0.8,0.489842,0.406448,0.278897
3,0.829,0.794,0.50941,0.408215,0.29511,0.866,0.797,0.483943,0.404092,0.276061,0.8835,0.8,0.472929,0.403428,0.268169
4,0.8215,0.792,0.51797,0.413232,0.300465,0.87,0.796,0.485435,0.408546,0.275559,0.903,0.8,0.463509,0.405879,0.262345
5,0.8015,0.79,0.527472,0.410446,0.306338,0.866,0.795,0.482276,0.402167,0.27285,0.8985,0.8,0.462115,0.401352,0.259551
6,0.7875,0.788,0.535399,0.41003,0.309788,0.863,0.794,0.481772,0.399504,0.269875,0.906,0.8,0.452261,0.395431,0.252422
7,0.796,0.786,0.527593,0.406524,0.307272,0.8955,0.793,0.458819,0.395666,0.260529,0.949,0.8,0.423947,0.392989,0.241653
8,0.805,0.784,0.525277,0.410282,0.306579,0.906,0.792,0.454392,0.397783,0.257245,0.961,0.8,0.413951,0.390167,0.236325
9,0.786,0.782,0.529236,0.401064,0.309721,0.8885,0.791,0.457589,0.389521,0.255948,0.9555,0.8,0.411304,0.383887,0.231823
10,0.802,0.78,0.524062,0.406561,0.309072,0.938,0.79,0.43135,0.393763,0.247059,0.9645,0.8,0.395623,0.373377,0.226873
11,0.765,0.778,0.538987,0.397368,0.315532,0.9055,0.789,0.439786,0.381321,0.247038,0.967,0.8,0.385683,0.364718,0.223035
12,0.774,0.776,0.53015,0.392959,0.310568,0.922,0.788,0.426477,0.377957,0.241123,0.968,0.8,0.375438,0.354792,0.217916
13,0.7575,0.774,0.53492,0.386033,0.314178,0.9385,0.787,0.402834,0.363702,0.232044,0.9695,0.8,0.35875,0.338576,0.210756
14,0.755,0.772,0.542965,0.394655,0.31938,0.9335,0.786,0.418481,0.377055,0.235242,0.9695,0.8,0.384515,0.365152,0.219418
15,0.7305,0.77,0.553995,0.389452,0.323039,0.9405,0.785,0.400971,0.363074,0.227758,0.9705,0.8,0.378076,0.359171,0.219737
16,0.7405,0.768,0.544928,0.385452,0.320861,0.933,0.784,0.408235,0.36574,0.230307,0.9715,0.8,0.379269,0.36106,0.219849
17,0.728,0.766,0.550712,0.382846,0.323109,0.9315,0.783,0.404681,0.360903,0.22757,0.9715,0.8,0.368052,0.349513,0.213538
