month,near_frontier_share
0,0.219
1,0.2255
2,0.2135
3,0.216
4,0.238
5,0.2255
6,0.231
7,0.2375
8,0.2535
9,0.2265
10,0.259
11,0.2265
12,0.233
13,0.211
14,0.245
15,0.227
16,0.225
17,0.2225
18,0.2255
19,0.22
20,0.2015
21,0.1945
22,0.1915
23,0.185
24,0.203
25,0.207
26,0.19
27,0.1815
28,0.199
29,0.1915
30,0.194
31,0.1845
32,0.1765
33,0.1925
34,0.1875
35,0.186
36,0.1615
37,0.18
38,0.165
39,0.1565
40,0.165
41,0.1675
42,0.151
43,0.147
44,0.1545
45,0.172
46,0.169
47,0.1715
48,0.1785
49,0.179
50,0.1465
51,0.1715
52,0.172
53,0.1595
54,0.1475
55,0.171
56,0.125
57,0.1425
58,0.1365
59,0.1475
60,0.137
61,0.1355
62,0.124
63,0.1325
64,0.1305
65,0.164
66,0.1415
67,0.1345
68,0.1235
69,0.1095
70,0.1265
71,0.0885
72,0.13
73,0.115
74,0.1175
75,0.0945
76,0.119
77,0.095
78,0.1025
79,0.105
80,0.09
81,0.1055
82,0.0905
83,0.054
84,0.096
85,0.081
86,0.083
87,0.06
88,0.0745
89,0.0965
90,0.0645
91,0.068
92,0.073
93,0.082
94,0.08
95,0.0565
96,0.0515
97,0.045
98,0.0495
99,0.051
100,0.0485
101,0.045
102,0.049
103,0.052
104,0.055
105,0.0375
106,0.0375
107,0.0285
108,0.031
109,0.0145
110,0.0355
111,0.015
112,0.0285
113,0.0175
114,0.002
115,0.007
116,0
117,0.0045
118,0.0115
119,0
120,0
121,0
122,0.003
123,0
124,0.004
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
